timestamp,user_id,fall_detected,confidence_score,sensor_data
2025-05-27T10:49:23.896310+09:00,raspberry_pi_01,True,0.5855669379234314,"{""acceleration"": {""x"": -0.4272089412373491, ""y"": -0.7218870662201611, ""z"": 2.1046024175957925}, ""gyroscope"": {""x"": 1.4634453261333606, ""y"": 0.17830431991767487, ""z"": 0.40602348384040854}}"
2025-05-27T10:49:28.496365+09:00,raspberry_pi_01,True,0.9961054921150208,"{""acceleration"": {""x"": -0.20499106562950697, ""y"": -0.25436304045985236, ""z"": 1.585612696776036}, ""gyroscope"": {""x"": 0.42621650274947087, ""y"": 0.5494088444095234, ""z"": 0.5116091396196079}}"
2025-05-27T10:49:30.589467+09:00,raspberry_pi_01,True,0.9961209297180176,"{""acceleration"": {""x"": -0.2555726281080183, ""y"": -0.21018754196281542, ""z"": 1.5284842770414313}, ""gyroscope"": {""x"": 0.460593843348419, ""y"": 0.5271479049015713, ""z"": 0.5168999241139904}}"
2025-05-27T10:49:32.682504+09:00,raspberry_pi_01,True,0.9961540102958679,"{""acceleration"": {""x"": -0.21692604104578483, ""y"": -0.20200689409299377, ""z"": 1.5926438868972181}, ""gyroscope"": {""x"": 0.4302450973509101, ""y"": 0.5362122395515159, ""z"": 0.47825419389415275}}"
2025-05-27T10:49:34.778158+09:00,raspberry_pi_01,True,0.9961370229721069,"{""acceleration"": {""x"": -0.20612772995486683, ""y"": -0.21550496307819944, ""z"": 1.5434255560489434}, ""gyroscope"": {""x"": 0.43857085952721786, ""y"": 0.5552740021241934, ""z"": 0.5221907086083729}}"
2025-05-27T10:49:36.870271+09:00,raspberry_pi_01,True,0.9635401368141174,"{""acceleration"": {""x"": -0.39481400796459454, ""y"": -1.4078343901047086, ""z"": 0.6570561513974198}, ""gyroscope"": {""x"": -2.3289393451748257, ""y"": 0.6928386103409994, ""z"": 0.328041921075379}}"
2025-05-27T10:49:38.963387+09:00,raspberry_pi_01,True,0.9653779864311218,"{""acceleration"": {""x"": -0.5698603140700047, ""y"": -1.8618603468798112, ""z"": -0.3721343025906156}, ""gyroscope"": {""x"": 0.3906305837700909, ""y"": 0.5820671089571178, ""z"": 0.34966512726981197}}"
2025-05-27T16:02:13.032392+09:00,raspberry_pi_01,True,0.6183075308799744,"{""acceleration"": {""x"": 0.15078486820811232, ""y"": -0.9885761867763476, ""z"": 1.582536551098019}, ""gyroscope"": {""x"": 1.5144741910849244, ""y"": 0.28974231649640525, ""z"": 0.9555749689308382}}"
2025-05-27T16:02:24.226130+09:00,raspberry_pi_01,True,0.6850898265838623,"{""acceleration"": {""x"": 1.4744304750896065, ""y"": 0.2741068119306277, ""z"": 3.2277251771089954}, ""gyroscope"": {""x"": 0.9260308063013659, ""y"": 3.3856124965693866, ""z"": 0.8207749813783092}}"
2025-05-27T16:02:24.320911+09:00,raspberry_pi_01,True,0.7670196890830994,"{""acceleration"": {""x"": -0.6318085198021142, ""y"": -0.20118882930601156, ""z"": 1.5188163906248058}, ""gyroscope"": {""x"": 0.432527967625059, ""y"": 0.5471427607470373, ""z"": 0.49734702489562016}}"
2025-05-27T16:02:24.414868+09:00,raspberry_pi_01,True,0.8010095357894897,"{""acceleration"": {""x"": -0.6420384987303525, ""y"": -0.19873463494506505, ""z"": 1.5794604054200019}, ""gyroscope"": {""x"": 0.4258136432893269, ""y"": 0.5740691666189315, ""z"": 0.49205624040123763}}"
2025-05-27T16:02:24.507266+09:00,raspberry_pi_01,True,0.9112429618835449,"{""acceleration"": {""x"": -0.356735753065041, ""y"": -0.25518110524683457, ""z"": 1.5755053609768368}, ""gyroscope"": {""x"": 0.38606484322179313, ""y"": 0.5487423492146746, ""z"": 1.2327660696147928}}"
2025-05-27T16:02:24.599926+09:00,raspberry_pi_01,True,0.9911372065544128,"{""acceleration"": {""x"": -0.673865099840427, ""y"": -0.18196430681193065, ""z"": 1.6625163387264659}, ""gyroscope"": {""x"": -0.18518987126229125, ""y"": 0.384517933203914, ""z"": 1.08761454718195}}"
2025-05-27T16:02:24.692245+09:00,raspberry_pi_01,True,0.8953564167022705,"{""acceleration"": {""x"": -0.609643565457598, ""y"": -0.5198250638355659, ""z"": 1.6031906720789915}, ""gyroscope"": {""x"": -0.4732343852651969, ""y"": 0.9315771891358631, ""z"": -0.15295939969652905}}"
2025-05-27T16:02:24.785452+09:00,raspberry_pi_01,True,0.8970485329627991,"{""acceleration"": {""x"": -0.7988981756300055, ""y"": -0.45887923720539425, ""z"": 1.4361999067009157}, ""gyroscope"": {""x"": -0.6200095152442999, ""y"": 0.49542273362676525, ""z"": -0.8499627483043153}}"
2025-05-27T16:02:24.879364+09:00,raspberry_pi_01,True,0.8431605100631714,"{""acceleration"": {""x"": -0.4635821996488628, ""y"": -0.7423386858947152, ""z"": 1.332050403030905}, ""gyroscope"": {""x"": -0.22480438484311038, ""y"": 0.613658981192954, ""z"": -0.29949112678008016}}"
2025-05-27T16:02:24.972913+09:00,raspberry_pi_01,True,0.631951093673706,"{""acceleration"": {""x"": -0.41356896933303144, ""y"": -0.9439916558858197, ""z"": 1.3997256079472833}, ""gyroscope"": {""x"": 0.28212710250466067, ""y"": 0.6805750987557802, ""z"": 0.26501257535969136}}"
